date,reservoir,depth,density_cells/ml
2018-09-19,CFK,0,"70,99638418"
2018-09-19,CFK,0,"36797,54026"
2018-09-19,CFK,0,"24531,69351"
2018-09-19,CFK,0,"76831,9012"
2018-09-19,CFK,0,"26405,64232"
2018-09-19,CFK,0,"3747,897619"
2018-09-19,CFK,0,"34071,79654"
2018-09-19,CFK,5,"5296,615644"
2018-09-19,CFK,5,"2927,077066"
2018-09-19,CFK,5,"42372,92515"
2018-09-19,CFK,5,"7108,615733"
2018-09-19,CFK,5,"6551,077244"
2018-09-19,CFK,5,"35,49819209"
2018-09-19,CFK,5,"19235,07787"
2018-09-19,CFK,5,"2927,077066"
2018-09-19,CFK,5,"23834,7704"
2017-07-18,CHL,0,"425,9783051"
2017-07-18,CHL,0,"8542,286133"
2017-07-18,CHL,0,"289123,5306"
2017-07-18,CHL,0,"193187,0864"
2017-07-18,CHL,0,"6570,989333"
2017-07-18,CHL,0,"54539,21146"
2017-07-18,CHL,0,"191215,7896"
2017-07-18,CHL,0,"43368,5296"
2017-07-18,CHL,0,"851,9566102"
2017-07-18,CHL,0,"84108,66346"
2017-07-18,CHL,0,"321321,3784"
2017-07-18,CHL,0,"176102,5141"
2017-07-18,CHL,0,"12484,87973"
2017-07-18,CHL,5,"1224,687627"
2017-07-18,CHL,5,"905,2038983"
2017-07-18,CHL,5,"111049,7197"
2017-07-18,CHL,5,"226042,033"
2017-07-18,CHL,5,"24969,75946"
2017-07-18,CHL,5,"55196,3104"
2017-07-18,CHL,5,"17741,6712"
2017-07-18,CHL,5,"851,9566102"
2017-07-18,CHL,5,"26283,95733"
2017-07-18,CHL,5,"1971,2968"
2017-07-18,CHL,5,"281238,3434"
2017-07-18,CHL,5,"51253,7168"
2017-07-18,CHL,5,"425,9783051"
2017-07-18,CHL,5,"53225,0136"
2017-07-18,CHL,5,"1757,160508"
2017-07-18,CHL,0,"1597,418644"
2017-07-18,CHL,0,"22998,46266"
2017-07-18,CHL,0,"204226,3485"
2017-07-18,CHL,0,"307259,4612"
2017-07-18,CHL,0,"29438,03221"
2017-07-18,CHL,0,"144430,3455"
2017-07-18,CHL,0,"28518,0937"
2017-07-18,CHL,0,"1703,91322"
2017-07-18,CHL,0,"69915,3265"
2017-07-18,CHL,0,"2555,869831"
2017-07-18,CHL,0,"426851,4671"
2017-07-18,CHL,0,"153629,7306"
2017-07-18,CHL,0,"8279,446559"
2017-07-18,CHL,0,"425,9783051"
2017-07-18,CHL,0,110875
2017-07-18,CHL,0,56250
2017-07-18,CHL,0,96875
2017-07-18,CHL,0,18750
2017-07-18,CHL,0,750
2017-07-18,CHL,0,37950
2017-07-18,CHL,0,1625
2017-07-18,CHL,0,1000
2017-07-18,CHL,0,19500
2017-07-18,CHL,0,2800
2017-07-18,CHL,0,"81415,38462"
2017-07-18,CHL,0,31050
2017-07-18,CHL,0,500
2017-09-20,CHL,0,"77274,83455"
2017-09-20,CHL,0,"115912,2518"
2017-09-20,CHL,0,"160069,3001"
2017-09-20,CHL,0,"474688,2694"
2017-09-20,CHL,0,"206066,2255"
2017-09-20,CHL,0,"34957,66325"
2017-09-20,CHL,0,"29438,03221"
